"STOP_LOCATION_BLOCK","match_status","match_type","GEOID"
"1800 BLOCK OF 4TH STREET NW WASHINGTON, DC 20001 UNITED STATES","Match","Non_Exact","11001004802"
"700 BLOCK OF 21ST STREET NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001007404"
"3900 BLOCK OF MINNESOTA AVENUE NE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001008802"
"700 BLOCK OF ATLANTIC STREET SE WASHINGTON, DC 20032 UNITED STATES","Match","Non_Exact","11001003400"
"2500 BLOCK OF BRANCH AVENUE SE WASHINGTON, DC 20020 UNITED STATES","Match","Non_Exact","11001008904"
"200 BLOCK OF V STREET NW WASHINGTON, DC 20001 UNITED STATES","Match","Non_Exact","11001009603"
"2300 BLOCK OF ALABAMA AVE DC, DC 20020 UNITED STATES","Match","Non_Exact","11001009802"
"2200 BLOCK OF U PLACE SE WASHINGTON, DC 20020 UNITED STATES","Match","Non_Exact","11001002503"
"700 BLOCK OF QUEBEC PLACE NW WASHINGTON, DC 20010 UNITED STATES","Match","Non_Exact","11001009811"
"600 BLOCK OF OTIS PLACE NW WASHINGTON, DC 20010 UNITED STATES","Match","Non_Exact","11001009700"
"100 BLOCK OF 17TH STREET SE WASHINGTON, DC 20003 UNITED STATES","Match","Non_Exact","11001007808"
"UNIT BLOCK OF SHERIDAN STREET NE WASHINGTON, DC 20011 UNITED STATES","Match","Non_Exact","11001008410"
"4000 BLOCK OF 8TH STREET SE WASHINGTON, DC 20032 UNITED STATES","Match","Non_Exact","11001004300"
"600 BLOCK OF 46TH PLACE SE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001004702"
"600 BLOCK OF EDGEWOOD STREET NE WASHINGTON, DC 20017 UNITED STATES","Match","Non_Exact","11001007100"
"2300 BLOCK OF 11TH STREET NW WASHINGTON, DC 20001 UNITED STATES","Match","Non_Exact","11001010202"
"500 BLOCK OF EDGEWOOD STREET NE WASHINGTON, DC 20017 UNITED STATES","Match","Non_Exact","11001007603"
"2300 BLOCK OF AINGER PLACE SE WASHINGTON, DC 20020 UNITED STATES","Match","Non_Exact","11001003400"
"1600 BLOCK OF MONTELLO AVENUE NE WASHINGTON, DC 20002 UNITED STATES","No_Match","",NA
"600 BLOCK OF 6TH ST NW WASHINGTON, DC 20001 UNITED STATES","Match","Non_Exact","11001007605"
"1200 BLOCK OF BLADENSBURG ROAD NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001003200"
"4900 BLOCK OF NASH STREET NE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001003200"
